Page,Score,Title,Description,Keywords,Canonical URL,Structured Data,H1 Count,Issues
DemodexBlepharitisPage,55,"Demodex Blepharitis Treatment - Xdemvy & IPL Therapy | Dr. Bonakdar Orange County","Expert Demodex blepharitis treatment with Xdemvy, the first FDA-approved medication, plus IPL therapy. Dr. Bonakdar specializes in eliminating Demodex mites for lasting relief in Orange County.","Demodex blepharitis, Xdemvy treatment, Demodex mites, lotilaner eye drops, IPL therapy Demodex, cylindrical dandruff, mite blepharitis, ocular demodicosis, eyelash mites treatment, tea tree oil eyes, BlephEx treatment, Dr. Bonakdar, Orange County eye doctor, Santa Ana Demodex specialist","https://eyecarecenteroc.com/education/conditions/demodex-blepharitis",Yes,0,"Title too long (>60 chars); Description too long (>160 chars); Missing H1 tag; Improper heading hierarchy"
DiabeticRetinopathyEducationPage,75,"Diabetic Retinopathy: Diabetes Eye Complications | Patient Education","Learn about diabetic retinopathy, a serious diabetes complication affecting the eyes. Understand symptoms, causes, and treatment options.","diabetic retinopathy, diabetes eye disease, blood sugar, retina, patient education, Orange County","https://eyecarecenteroc.com/education/conditions/diabetic-retinopathy",Yes,0,"Title too long (>60 chars); Missing H1 tag; Improper heading hierarchy"
DoubleVisionEducationPage,75,"Double Vision (Diplopia): Causes, Types, and Treatment | Orange County","Learn about double vision (diplopia), its causes, types, and treatment options. Expert diagnosis and care for diplopia in Orange County.","double vision, diplopia, eye muscle problems, strabismus, neuro-ophthalmology, Orange County eye doctor, binocular vision","https://eyecarecenteroc.com/education/conditions/double-vision",Yes,0,"Title too long (>60 chars); Missing H1 tag; Improper heading hierarchy"
DryEyeEducationPage,75,"Dry Eye Syndrome: Symptoms, Causes, and Treatment | Patient Education","Learn about dry eye syndrome symptoms, causes, and treatment options. Comprehensive patient education from Orange County eye care specialists.","dry eye syndrome, dry eyes, eye symptoms, eye treatment, patient education, Orange County","https://eyecarecenteroc.com/education/conditions/dry-eye-syndrome",Yes,0,"Title too long (>60 chars); Missing H1 tag; Improper heading hierarchy"
EpiscleritisPage,55,"Episcleritis Treatment - Eye Inflammation Care | Dr. Bonakdar Orange County","Expert episcleritis treatment and management. Dr. Bonakdar provides specialized care for episcleral inflammation with focus on comfort and systemic evaluation in Orange County.","episcleritis, episcleral inflammation, red eye, eye inflammation, simple episcleritis, nodular episcleritis, autoimmune eye disease, rheumatoid arthritis eyes, systemic lupus eyes, eye redness, Dr. Bonakdar, Orange County eye inflammation, Santa Ana episcleritis specialist","https://eyecarecenteroc.com/education/conditions/episcleritis",Yes,0,"Title too long (>60 chars); Description too long (>160 chars); Missing H1 tag; Improper heading hierarchy"
GlaucomaEducationPage,95,"Glaucoma: The Silent Thief of Sight | Patient Education","Learn about glaucoma symptoms, causes, and treatment. Early detection and treatment can prevent vision loss from this ","glaucoma, eye pressure, optic nerve, vision loss, patient education, Orange County","https://eyecarecenteroc.com/education/conditions/glaucoma",Yes,0,"Missing H1 tag; Improper heading hierarchy"
KeratoconusEducationPage,75,"Keratoconus: Symptoms, Causes, and Treatment | Patient Education","Learn about keratoconus, a progressive corneal condition causing vision distortion. Comprehensive information on symptoms, treatments, and management options.","keratoconus, corneal disease, progressive vision, contact lenses, corneal cross-linking, patient education","https://eyecarecenteroc.com/education/conditions/keratoconus",Yes,0,"Title too long (>60 chars); Missing H1 tag; Improper heading hierarchy"
LazyEyeAmblyopiaEducationPage,75,"Lazy Eye (Amblyopia) in Children: Early Detection & Treatment","Learn about amblyopia (lazy eye) in children - causes, symptoms, and treatment options. Early detection is crucial for successful treatment.","lazy eye, amblyopia, children vision, pediatric eye care, eye patching, vision therapy","https://eyecarecenteroc.com/education/conditions/lazy-eye-amblyopia",Yes,0,"Title too long (>60 chars); Missing H1 tag; Improper heading hierarchy"
MacularDegenerationEducationPage,75,"Macular Degeneration: Causes, Symptoms, and Treatment | Patient Education","Learn about age-related macular degeneration (AMD), its symptoms, causes, and treatment options. Comprehensive patient education from Orange County specialists.","macular degeneration, AMD, central vision loss, retina, patient education, Orange County","https://eyecarecenteroc.com/education/conditions/macular-degeneration",Yes,0,"Title too long (>60 chars); Missing H1 tag; Improper heading hierarchy"
MacularHoleEducationPage,75,"Macular Hole: Symptoms, Surgery, and Treatment | Orange County Retina","Learn about macular holes, their symptoms, stages, and surgical treatment. Expert retinal surgery for macular holes in Orange County and surrounding areas.","macular hole, macular hole surgery, vitrectomy, retinal surgery Orange County, central vision loss, retina specialist, macular hole treatment","https://eyecarecenteroc.com/education/conditions/macular-hole",Yes,0,"Title too long (>60 chars); Missing H1 tag; Improper heading hierarchy"
MeibomianGlandDysfunctionPage,55,"Meibomian Gland Dysfunction (MGD) Treatment - IPL & Advanced Therapy | Orange County","Expert MGD treatment with IPL therapy, LipiFlow, and iLux in Orange County. Dr. Bonakdar specializes in advanced meibomian gland dysfunction treatments for lasting dry eye relief.","meibomian gland dysfunction, MGD treatment, IPL therapy eyes, LipiFlow Orange County, iLux treatment, evaporative dry eye, posterior blepharitis, meibomitis, oil gland dysfunction, dry eye specialist, Dr. Bonakdar, Santa Ana eye doctor, Orange County MGD expert, advanced dry eye treatment","https://eyecarecenteroc.com/education/conditions/meibomian-gland-dysfunction",Yes,0,"Title too long (>60 chars); Description too long (>160 chars); Missing H1 tag; Improper heading hierarchy"
MyopiaControlPage,15,"","","","",No,0,"Missing page title; Missing meta description; Missing canonical URL; Missing structured data; Missing H1 tag; Improper heading hierarchy; No internal links found"
NormalTensionGlaucomaEducationPage,75,"Normal Tension Glaucoma: Symptoms, Causes, and Treatment | Orange County","Learn about normal tension glaucoma, a silent disease that damages vision despite normal eye pressure. Expert diagnosis and treatment in Orange County.","normal tension glaucoma, low pressure glaucoma, NTG, glaucoma Orange County, silent glaucoma, optic nerve damage, glaucoma specialist","https://eyecarecenteroc.com/education/conditions/normal-tension-glaucoma",Yes,0,"Title too long (>60 chars); Missing H1 tag; Improper heading hierarchy"
OpenAngleGlaucomaEducationPage,75,"Open-Angle Glaucoma: The Silent Thief of Sight | Patient Education","Learn about open-angle glaucoma, the most common form of glaucoma. Early detection and treatment are crucial for preserving vision.","open-angle glaucoma, glaucoma types, eye pressure, vision loss, patient education","https://eyecarecenteroc.com/education/conditions/open-angle-glaucoma",Yes,0,"Title too long (>60 chars); Missing H1 tag; Improper heading hierarchy"
OpticNeuritisEducationPage,75,"Optic Neuritis: Symptoms, Causes, and Treatment | Orange County","Learn about optic neuritis, its connection to multiple sclerosis, symptoms, and treatment options. Expert neuro-ophthalmology care in Orange County.","optic neuritis, optic nerve inflammation, multiple sclerosis, sudden vision loss, eye pain, neuro-ophthalmology Orange County","https://eyecarecenteroc.com/education/conditions/optic-neuritis",Yes,0,"Title too long (>60 chars); Missing H1 tag; Improper heading hierarchy"
PresbyopiaEducationPage,55,"Presbyopia: Age-Related Reading Vision Changes | Patient Education","Learn about presbyopia, the natural age-related condition affecting near vision. Comprehensive guide to symptoms, causes, and treatment options including reading glasses and multifocal lenses.","presbyopia, reading glasses, bifocals, progressive lenses, age-related vision, near vision, Orange County","https://eyecarecenteroc.com/education/conditions/presbyopia",Yes,0,"Title too long (>60 chars); Description too long (>160 chars); Missing H1 tag; Improper heading hierarchy"
RetinalDetachmentEducationPage,75,"Retinal Detachment: Emergency Eye Condition | Patient Education","Learn about retinal detachment - a serious eye emergency requiring immediate treatment. Symptoms, causes, and treatment options explained.","retinal detachment, detached retina, eye emergency, sudden vision loss, flashing lights, floaters","https://eyecarecenteroc.com/education/conditions/retinal-detachment",Yes,0,"Title too long (>60 chars); Missing H1 tag; Improper heading hierarchy"
ScleritisPage,55,"Scleritis Treatment - Serious Eye Inflammation | Dr. Bonakdar Orange County","Expert scleritis diagnosis and treatment. Dr. Bonakdar provides urgent care for serious scleral inflammation, systemic evaluation, and immunosuppressive therapy in Orange County.","scleritis, scleral inflammation, necrotizing scleritis, posterior scleritis, severe eye pain, autoimmune eye disease, rheumatoid arthritis eyes, vasculitis eyes, immunosuppressive therapy, prednisone eye treatment, Dr. Bonakdar, Orange County scleritis specialist, Santa Ana eye inflammation emergency","https://eyecarecenteroc.com/education/conditions/scleritis",Yes,0,"Title too long (>60 chars); Description too long (>160 chars); Missing H1 tag; Improper heading hierarchy"
ViralConjunctivitisPage,75,"Viral Conjunctivitis Treatment - Supportive Care | Dr. Bonakdar Orange County","Expert viral conjunctivitis (viral pink eye) care and management. Dr. Bonakdar provides supportive treatment and prevents complications in Orange County.","viral conjunctivitis, viral pink eye, adenovirus conjunctivitis, epidemic keratoconjunctivitis, watery discharge, red eyes, supportive care, artificial tears, cold compresses, contagious pink eye, Dr. Bonakdar, Orange County viral infection, Santa Ana conjunctivitis care","https://eyecarecenteroc.com/education/conditions/viral-conjunctivitis",Yes,0,"Title too long (>60 chars); Missing H1 tag; Improper heading hierarchy"
VisualFieldDefectsEducationPage,55,"Visual Field Defects - Understanding Blind Spots & Vision Loss | Dr. Bonakdar","Learn about visual field defects, including blind spots, tunnel vision, and other types of vision loss. Expert diagnosis and treatment at Eyecare Center of Orange County.","visual field defects, blind spots, scotomas, tunnel vision, peripheral vision loss, hemianopia, visual field test, perimetry, Orange County eye doctor","https://eyecarecenteroc.com/education/conditions/visual-field-defects",Yes,0,"Title too long (>60 chars); Description too long (>160 chars); Missing H1 tag; Improper heading hierarchy"
acanthamoeba-keratitis,20,"","","","",No,0,"Missing page title; Missing meta description; Missing canonical URL; Missing structured data; Missing H1 tag; No internal links found"
albinism-ocular,20,"","","","",No,0,"Missing page title; Missing meta description; Missing canonical URL; Missing structured data; Missing H1 tag; No internal links found"
amblyopia,20,"","","","",No,0,"Missing page title; Missing meta description; Missing canonical URL; Missing structured data; Missing H1 tag; No internal links found"
atopic-keratoconjunctivitis,20,"","","","",No,0,"Missing page title; Missing meta description; Missing canonical URL; Missing structured data; Missing H1 tag; No internal links found"
bacterial-keratitis,20,"","","","",No,0,"Missing page title; Missing meta description; Missing canonical URL; Missing structured data; Missing H1 tag; No internal links found"
blocked-tear-ducts,20,"","","","",No,0,"Missing page title; Missing meta description; Missing canonical URL; Missing structured data; Missing H1 tag; No internal links found"
branch-retinal-artery-occlusion,20,"","","","",No,0,"Missing page title; Missing meta description; Missing canonical URL; Missing structured data; Missing H1 tag; No internal links found"
branch-retinal-vein-occlusion,20,"","","","",No,0,"Missing page title; Missing meta description; Missing canonical URL; Missing structured data; Missing H1 tag; No internal links found"
central-retinal-artery-occlusion,20,"","","","",No,0,"Missing page title; Missing meta description; Missing canonical URL; Missing structured data; Missing H1 tag; No internal links found"
central-retinal-vein-occlusion,20,"","","","",No,0,"Missing page title; Missing meta description; Missing canonical URL; Missing structured data; Missing H1 tag; No internal links found"
congenital-glaucoma,20,"","","","",No,0,"Missing page title; Missing meta description; Missing canonical URL; Missing structured data; Missing H1 tag; No internal links found"
corneal-abrasion,20,"","","","",No,0,"Missing page title; Missing meta description; Missing canonical URL; Missing structured data; Missing H1 tag; No internal links found"
corneal-dystrophies,20,"","","","",No,0,"Missing page title; Missing meta description; Missing canonical URL; Missing structured data; Missing H1 tag; No internal links found"
corneal-endothelial-dysfunction,20,"","","","",No,0,"Missing page title; Missing meta description; Missing canonical URL; Missing structured data; Missing H1 tag; No internal links found"
epiretinal-membrane,20,"","","","",No,0,"Missing page title; Missing meta description; Missing canonical URL; Missing structured data; Missing H1 tag; No internal links found"
fungal-keratitis,20,"","","","",No,0,"Missing page title; Missing meta description; Missing canonical URL; Missing structured data; Missing H1 tag; No internal links found"
giant-papillary-conjunctivitis,20,"","","","",No,0,"Missing page title; Missing meta description; Missing canonical URL; Missing structured data; Missing H1 tag; No internal links found"
granular-corneal-dystrophy,20,"","","","",No,0,"Missing page title; Missing meta description; Missing canonical URL; Missing structured data; Missing H1 tag; No internal links found"
idiopathic-intracranial-hypertension,20,"","","","",No,0,"Missing page title; Missing meta description; Missing canonical URL; Missing structured data; Missing H1 tag; No internal links found"
ischemic-optic-neuropathy,20,"","","","",No,0,"Missing page title; Missing meta description; Missing canonical URL; Missing structured data; Missing H1 tag; No internal links found"
juvenile-idiopathic-arthritis-uveitis,20,"","","","",No,0,"Missing page title; Missing meta description; Missing canonical URL; Missing structured data; Missing H1 tag; No internal links found"
lattice-corneal-dystrophy,20,"","","","",No,0,"Missing page title; Missing meta description; Missing canonical URL; Missing structured data; Missing H1 tag; No internal links found"
ligneous-conjunctivitis,20,"","","","",No,0,"Missing page title; Missing meta description; Missing canonical URL; Missing structured data; Missing H1 tag; No internal links found"
macular-hole,20,"","","","",No,0,"Missing page title; Missing meta description; Missing canonical URL; Missing structured data; Missing H1 tag; No internal links found"
map-dot-fingerprint-dystrophy,20,"","","","",No,0,"Missing page title; Missing meta description; Missing canonical URL; Missing structured data; Missing H1 tag; No internal links found"
myasthenia-gravis,20,"","","","",No,0,"Missing page title; Missing meta description; Missing canonical URL; Missing structured data; Missing H1 tag; No internal links found"
ocular-cicatricial-pemphigoid,20,"","","","",No,0,"Missing page title; Missing meta description; Missing canonical URL; Missing structured data; Missing H1 tag; No internal links found"
optic-neuritis,20,"","","","",No,0,"Missing page title; Missing meta description; Missing canonical URL; Missing structured data; Missing H1 tag; No internal links found"
papilledema,20,"","","","",No,0,"Missing page title; Missing meta description; Missing canonical URL; Missing structured data; Missing H1 tag; No internal links found"
pediatric-cataracts,20,"","","","",No,0,"Missing page title; Missing meta description; Missing canonical URL; Missing structured data; Missing H1 tag; No internal links found"
pediatric-ptosis,20,"","","","",No,0,"Missing page title; Missing meta description; Missing canonical URL; Missing structured data; Missing H1 tag; No internal links found"
pinguecula,20,"","","","",No,0,"Missing page title; Missing meta description; Missing canonical URL; Missing structured data; Missing H1 tag; No internal links found"
pterygium,20,"","","","",No,0,"Missing page title; Missing meta description; Missing canonical URL; Missing structured data; Missing H1 tag; No internal links found"
ptosis-drooping-eyelid,75,"Ptosis (Drooping Eyelid): Causes, Symptoms, and Surgery | Orange County","Learn about ptosis (drooping eyelid) causes, symptoms, and surgical treatment options. Expert ptosis surgery in Orange County, Santa Ana, and surrounding areas.","ptosis Orange County, drooping eyelid treatment, eyelid surgery Santa Ana, ptosis surgery, blepharoptosis, eyelid repair, ptosis doctor","https://eyecarecenteroc.com/education/conditions/ptosis-drooping-eyelid",Yes,0,"Title too long (>60 chars); Missing H1 tag; Improper heading hierarchy"
recurrent-corneal-erosion,20,"","","","",No,0,"Missing page title; Missing meta description; Missing canonical URL; Missing structured data; Missing H1 tag; No internal links found"
retinal-detachment,20,"","","","",No,0,"Missing page title; Missing meta description; Missing canonical URL; Missing structured data; Missing H1 tag; No internal links found"
retinopathy-of-prematurity,20,"","","","",No,0,"Missing page title; Missing meta description; Missing canonical URL; Missing structured data; Missing H1 tag; No internal links found"
sixth-nerve-palsy,20,"","","","",No,0,"Missing page title; Missing meta description; Missing canonical URL; Missing structured data; Missing H1 tag; No internal links found"
stevens-johnson-syndrome,20,"","","","",No,0,"Missing page title; Missing meta description; Missing canonical URL; Missing structured data; Missing H1 tag; No internal links found"
strabismus,20,"","","","",No,0,"Missing page title; Missing meta description; Missing canonical URL; Missing structured data; Missing H1 tag; No internal links found"
subconjunctival-hemorrhage,20,"","","","",No,0,"Missing page title; Missing meta description; Missing canonical URL; Missing structured data; Missing H1 tag; No internal links found"
superior-limbic-keratoconjunctivitis,20,"","","","",No,0,"Missing page title; Missing meta description; Missing canonical URL; Missing structured data; Missing H1 tag; No internal links found"
third-nerve-palsy,20,"","","","",No,0,"Missing page title; Missing meta description; Missing canonical URL; Missing structured data; Missing H1 tag; No internal links found"
vernal-keratoconjunctivitis,20,"","","","",No,0,"Missing page title; Missing meta description; Missing canonical URL; Missing structured data; Missing H1 tag; No internal links found"
viral-keratitis,20,"","","","",No,0,"Missing page title; Missing meta description; Missing canonical URL; Missing structured data; Missing H1 tag; No internal links found"
vitreous-hemorrhage,20,"","","","",No,0,"Missing page title; Missing meta description; Missing canonical URL; Missing structured data; Missing H1 tag; No internal links found"
